,date,hermit,allegiance,count
0,2020-08-27,BdoubleO100,hep,2
1,2020-09-04,BdoubleO100,hep,12
2,2020-09-10,BdoubleO100,hep,3
3,2020-09-18,BdoubleO100,hep,11
4,2020-09-30,BdoubleO100,hep,10
5,2020-10-06,BdoubleO100,hep,3
6,2020-10-11,BdoubleO100,hep,49
7,2020-10-21,BdoubleO100,hep,23
8,2020-10-30,BdoubleO100,hep,58
9,2020-11-10,BdoubleO100,hep,9
10,2020-11-25,BdoubleO100,hep,11
11,2020-12-01,BdoubleO100,hep,13
12,2020-12-10,BdoubleO100,hep,16
13,2020-12-16,BdoubleO100,hep,22
14,2020-12-23,BdoubleO100,hep,13
15,2021-01-08,BdoubleO100,hep,5
16,2021-01-13,BdoubleO100,hep,7
17,2021-01-22,BdoubleO100,hep,4
18,2021-02-03,BdoubleO100,hep,2
19,2021-02-11,BdoubleO100,hep,1
20,2021-02-18,BdoubleO100,hep,1
21,2021-02-23,BdoubleO100,hep,3
22,2021-02-26,BdoubleO100,hep,3
23,2021-03-06,BdoubleO100,hep,1
24,2021-03-17,BdoubleO100,hep,4
25,2021-03-26,BdoubleO100,hep,2
26,2021-04-04,BdoubleO100,hep,2
27,2020-08-14,Cubfan135,hep,4
28,2020-08-18,Cubfan135,hep,5
29,2020-08-20,Cubfan135,hep,6
30,2020-08-21,Cubfan135,hep,0
31,2020-08-26,Cubfan135,hep,6
32,2020-09-01,Cubfan135,hep,2
33,2020-09-03,Cubfan135,hep,2
34,2020-09-08,Cubfan135,hep,1
35,2020-09-12,Cubfan135,hep,3
36,2020-09-14,Cubfan135,hep,5
37,2020-09-17,Cubfan135,hep,4
38,2020-09-25,Cubfan135,hep,7
39,2020-09-28,Cubfan135,hep,5
40,2020-10-01,Cubfan135,hep,12
41,2020-10-02,Cubfan135,hep,17
42,2020-10-08,Cubfan135,hep,7
43,2020-10-11,Cubfan135,hep,30
44,2020-10-13,Cubfan135,hep,83
45,2020-10-16,Cubfan135,hep,68
46,2020-10-17,Cubfan135,hep,16
47,2020-10-21,Cubfan135,hep,65
48,2020-10-26,Cubfan135,hep,5
49,2020-10-30,Cubfan135,hep,51
50,2020-11-03,Cubfan135,hep,57
51,2020-11-06,Cubfan135,hep,55
52,2020-11-10,Cubfan135,hep,21
53,2020-11-20,Cubfan135,hep,25
54,2020-11-25,Cubfan135,hep,8
55,2020-12-02,Cubfan135,hep,7
56,2020-12-16,Cubfan135,hep,51
57,2020-12-19,Cubfan135,hep,67
58,2020-12-23,Cubfan135,hep,41
59,2021-01-05,Cubfan135,hep,12
60,2021-01-11,Cubfan135,hep,3
61,2021-01-18,Cubfan135,hep,1
62,2021-01-25,Cubfan135,hep,10
63,2021-02-02,Cubfan135,hep,0
64,2021-02-10,Cubfan135,hep,19
65,2021-02-12,Cubfan135,hep,3
66,2021-02-16,Cubfan135,hep,4
67,2021-02-23,Cubfan135,hep,2
68,2021-03-02,Cubfan135,hep,8
69,2021-03-05,Cubfan135,hep,1
70,2021-03-10,Cubfan135,hep,9
71,2021-03-12,Cubfan135,hep,4
72,2021-03-20,Cubfan135,hep,9
73,2021-03-27,Cubfan135,hep,11
74,2021-04-07,Cubfan135,hep,2
75,2021-04-13,Cubfan135,hep,16
76,2020-08-15,FalseSymmetry,hep,6
77,2020-08-19,FalseSymmetry,hep,2
78,2020-08-22,FalseSymmetry,hep,2
79,2020-08-28,FalseSymmetry,hep,1
80,2020-09-02,FalseSymmetry,hep,7
81,2020-09-10,FalseSymmetry,hep,8
82,2020-09-15,FalseSymmetry,hep,3
83,2020-09-19,FalseSymmetry,hep,3
84,2020-09-22,FalseSymmetry,hep,5
85,2020-09-26,FalseSymmetry,hep,2
86,2020-09-30,FalseSymmetry,hep,2
87,2020-10-07,FalseSymmetry,hep,12
